Sample	Reference virus	Genus	Description	%Identity
BE-S003	FJ560943	badnavirus	Sweet potato badnavirus A	78.7
BE-S003	KF836892	badnavirus	Sweet potato badnavirus B	93.92
BE-S003	JQ902104	badnavirus	Sweet potato badnavirus C	95.24
BE-S003	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S004	JQ902104	badnavirus	Sweet potato badnavirus C	96.43
BE-S004	KC771328	potyvirus	Sweet potato feathery mottle virus	96.96
BE-S004	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S005	JQ902104	badnavirus	Sweet potato badnavirus C	95.44
BE-S005	EF155993	potyvirus	Sweet potato feathery mottle virus	95.74
BE-S005	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S006	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.47
BE-S007	AM503386	badnavirus	Dioscorea bacilliform virus	79.01
BE-S007	JQ902104	badnavirus	Sweet potato badnavirus C	92.5
BE-S007	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S008	EU809497	potyvirus	Sweet potato feathery mottle virus	93.28
BE-S009	AY523547	potyvirus	Sweet potato feathery mottle virus	98.38
BE-S010	JQ902104	badnavirus	Sweet potato badnavirus C	96.58
BE-S010	AJ010705	potyvirus	Sweet potato feathery mottle virus	95.51
BE-S010	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S010	JX489166	potyvirus	Sweet potato virus C	80.62
BE-S011	JQ902104	badnavirus	Sweet potato badnavirus C	95.58
BE-S011	AY523547	potyvirus	Sweet potato feathery mottle virus	93.88
BE-S011	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S012	JQ902104	badnavirus	Sweet potato badnavirus C	96.3
BE-S012	FJ155666	potyvirus	Sweet potato feathery mottle virus	89.69
BE-S012	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
BE-S012	KF386015	potyvirus	Sweet potato virus C	81.1
BE-S014	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	99.38
BE-S016	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S017	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.44
BE-S018	JQ902104	badnavirus	Sweet potato badnavirus C	96.55
BE-S018	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.36
BE-S019	AY523547	potyvirus	Sweet potato feathery mottle virus	97.81
BE-S019	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.86
BE-S020	AY523547	potyvirus	Sweet potato feathery mottle virus	96.61
BE-S021	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S023	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.11
BE-S024	AY523547	potyvirus	Sweet potato feathery mottle virus	96.08
BE-S024	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.7
BE-S025	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S027	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S031	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S032	AY523547	potyvirus	Sweet potato feathery mottle virus	97.08
BE-S032	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S033	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BF-S001	JQ902104	badnavirus	Sweet potato badnavirus C	95.42
BF-S001	JN657686	begomovirus	Sweet potato leaf curl virus	95.54
BF-S001	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BF-S003	EU839578	begomovirus	Ipomoea yellow vein virus	93.64
BF-S003	DQ644561	begomovirus	Merremia leaf curl virus	92.68
BF-S003	FJ560943	badnavirus	Sweet potato badnavirus A	91.49
BF-S003	FJ560944	badnavirus	Sweet potato badnavirus B	93.84
BF-S003	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.58
BF-S003	EF155987	potyvirus	Sweet potato feathery mottle virus	92.66
BF-S003	HQ333143	begomovirus	Sweet potato golden vein associated virus	95.54
BF-S003	KF769447	begomovirus	Sweet potato leaf curl virus	96.44
BF-S005	AJ132548	begomovirus	Ipomoea yellow vein virus	93.36
BF-S005	DQ644561	begomovirus	Merremia leaf curl virus	93.54
BF-S005	FM164740	NA	Okra leaf curl disease associated DNA 1	95.83
BF-S005	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.51
BF-S005	AB439206	potyvirus	Sweet potato feathery mottle virus	88.84
BF-S005	KF803170	begomovirus	Sweet potato golden vein associated virus	94.01
BF-S005	JN657686	begomovirus	Sweet potato leaf curl virus	95.72
BF-S005	FJ969831	begomovirus	Sweet potato mosaic virus	92.07
BF-S008	EU839578	begomovirus	Ipomoea yellow vein virus	90.61
BF-S008	FN675284	NA	Okra yellow crinkle alphasatellite	97.22
BF-S008	JQ902104	badnavirus	Sweet potato badnavirus C	95.92
BF-S008	GQ268230	begomovirus	Sweet potato begomovirus	94.31
BF-S008	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.54
BF-S008	FJ155666	potyvirus	Sweet potato feathery mottle virus	89.87
BF-S008	HQ333143	begomovirus	Sweet potato golden vein associated virus	94.71
BF-S008	DQ512731	begomovirus	Sweet potato leaf curl virus	96
BF-S008	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET1	FJ560943	badnavirus	Sweet potato badnavirus A	77.33
ET1	KF836892	badnavirus	Sweet potato badnavirus B	88.2
ET1	JQ902104	badnavirus	Sweet potato badnavirus C	81.16
ET1	JN613805	potyvirus	Sweet potato virus G	98.85
ET10	FJ560943	badnavirus	Sweet potato badnavirus A	79.24
ET10	KF836892	badnavirus	Sweet potato badnavirus B	91.94
ET10	JQ902104	badnavirus	Sweet potato badnavirus C	88.32
ET10	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET102	FJ560943	badnavirus	Sweet potato badnavirus A	81.14
ET102	KF836892	badnavirus	Sweet potato badnavirus B	89.97
ET102	JQ902104	badnavirus	Sweet potato badnavirus C	83.82
ET102	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.24
ET102	HQ333142	begomovirus	Sweet potato leaf curl virus	95.78
ET102	JN613805	potyvirus	Sweet potato virus G	98.89
ET104	KF545118	badnavirus	Banana streak virus	78.87
ET104	EU130910	badnavirus	Citrus yellow mosaic virus	77.48
ET104	FJ560943	badnavirus	Sweet potato badnavirus A	78.6
ET104	KF836892	badnavirus	Sweet potato badnavirus B	87.85
ET104	JQ902104	badnavirus	Sweet potato badnavirus C	82.86
ET104	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.41
ET105	AJ968464	badnavirus	Banana streak virus	76.87
ET105	FJ560943	badnavirus	Sweet potato badnavirus A	79.29
ET105	KF836892	badnavirus	Sweet potato badnavirus B	89.5
ET105	JQ902104	badnavirus	Sweet potato badnavirus C	81.89
ET105	JN613805	potyvirus	Sweet potato virus G	98.66
ET107	FJ439788	badnavirus	Sugarcane bacilliform virus	79.53
ET107	FJ560943	badnavirus	Sweet potato badnavirus A	79.41
ET107	KF836892	badnavirus	Sweet potato badnavirus B	87.71
ET107	JQ902103	badnavirus	Sweet potato badnavirus C	88.24
ET107	GQ268230	begomovirus	Sweet potato begomovirus	92.67
ET107	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.45
ET107	HQ393444	begomovirus	Sweet potato golden vein associated virus	93.37
ET107	KF040465	begomovirus	Sweet potato leaf curl virus	95.02
ET107	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET108	KF836892	badnavirus	Sweet potato badnavirus B	97.97
ET108	JQ902104	badnavirus	Sweet potato badnavirus C	95.85
ET108	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.4
ET108	D86371	potyvirus	Sweet potato feathery mottle virus	92.63
ET108	JN657686	begomovirus	Sweet potato leaf curl virus	95.78
ET108	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET108	GU207957	potyvirus	Sweet potato virus C	96.57
ET108	JX212747	carlavirus	Sweet potato virus C-6	81.69
ET109	FJ560943	badnavirus	Sweet potato badnavirus A	78.53
ET109	KF836892	badnavirus	Sweet potato badnavirus B	89.26
ET109	JQ902104	badnavirus	Sweet potato badnavirus C	85.86
ET109	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.42
ET109	AY459591	potyvirus	Sweet potato feathery mottle virus	93.04
ET109	FN806776	begomovirus	Sweet potato leaf curl virus	94.05
ET109	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET109	KF386015	potyvirus	Sweet potato virus C	96.74
ET109	JN613805	potyvirus	Sweet potato virus G	98.06
ET11	HQ442266	ampelovirus	Grapevine leafroll-associated virus 1	71.43
ET11	EU908849	badnavirus	Musa balbisiana endogenous badnavirus	78.57
ET11	JQ902103	badnavirus	Sweet potato badnavirus C	100
ET11	HQ393464	begomovirus	Sweet potato leaf curl virus	96.83
ET110	KF836892	badnavirus	Sweet potato badnavirus B	95.29
ET110	JQ902104	badnavirus	Sweet potato badnavirus C	84.44
ET110	D86371	potyvirus	Sweet potato feathery mottle virus	96.72
ET110	JN657686	begomovirus	Sweet potato leaf curl virus	96.24
ET111	FJ560943	badnavirus	Sweet potato badnavirus A	80.38
ET111	KF836892	badnavirus	Sweet potato badnavirus B	92.55
ET111	JQ902104	badnavirus	Sweet potato badnavirus C	85.63
ET111	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.46
ET111	D86371	potyvirus	Sweet potato feathery mottle virus	92.7
ET111	KF803170	begomovirus	Sweet potato golden vein associated virus	93.62
ET111	FJ969835	begomovirus	Sweet potato leaf curl virus	94.31
ET112	KF836892	badnavirus	Sweet potato badnavirus B	96.88
ET112	JQ902104	badnavirus	Sweet potato badnavirus C	94.92
ET112	D86371	potyvirus	Sweet potato feathery mottle virus	95.97
ET112	JN657686	begomovirus	Sweet potato leaf curl virus	97.22
ET113	FJ560943	badnavirus	Sweet potato badnavirus A	80.59
ET113	KF836892	badnavirus	Sweet potato badnavirus B	90.94
ET113	JQ902104	badnavirus	Sweet potato badnavirus C	86.51
ET113	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.48
ET113	D86371	potyvirus	Sweet potato feathery mottle virus	93.83
ET113	JN657686	begomovirus	Sweet potato leaf curl virus	95.6
ET113	JN613805	potyvirus	Sweet potato virus G	98.65
ET114	EU377671	badnavirus	Pineapple bacilliform comosus virus	82.46
ET114	FJ560943	badnavirus	Sweet potato badnavirus A	78.14
ET114	KF836892	badnavirus	Sweet potato badnavirus B	89.53
ET114	JQ902104	badnavirus	Sweet potato badnavirus C	83.92
ET114	D86371	potyvirus	Sweet potato feathery mottle virus	97
ET114	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.16
ET114	JN657686	begomovirus	Sweet potato leaf curl virus	95.33
ET114	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET114	JN613805	potyvirus	Sweet potato virus G	98.71
ET115	FJ560943	badnavirus	Sweet potato badnavirus A	80.21
ET115	KF836892	badnavirus	Sweet potato badnavirus B	90.82
ET115	JQ902104	badnavirus	Sweet potato badnavirus C	92
ET115	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.47
ET115	D86371	potyvirus	Sweet potato feathery mottle virus	98.42
ET115	JN657686	begomovirus	Sweet potato leaf curl virus	95.03
ET115	KF386015	potyvirus	Sweet potato virus C	97.64
ET115	JN613805	potyvirus	Sweet potato virus G	98.5
ET116	KF545103	badnavirus	Banana streak virus	78.23
ET116	EU130910	badnavirus	Citrus yellow mosaic virus	79.29
ET116	FJ560943	badnavirus	Sweet potato badnavirus A	77.04
ET116	KF836892	badnavirus	Sweet potato badnavirus B	87.92
ET116	JQ902104	badnavirus	Sweet potato badnavirus C	81.94
